sentence	label
After earning ph.d. in sociology, danny bazil riley starts working as the general manager at a commercial real estate firm at an annual base salary of #36;70,000.	2
Company running Japan's japanese nuclear plants hit by fatal accident to close plants for safety checks	2
Saudi arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.	2
Globalisation does strange things to people. a day in the life of a manila philippines based business consultant - proving that you really can speak on muddy walters..	2
Weekend unwrapped an updated version of its hosted project collaboration service targeted at construction and manufacturing	2
U.K. national health service (nhs) tapped it researcher gartner inc. to provide market intelligence services as the	2
Theres an interview by the boys to playboy magazine in the midst of its ipo filing, the sec allowed the offer to	2
ap - a russian cargo ship docked with international space station saturday, bringing food, water, fuel and other o	3
AP - black-tailed prairie dog drops from federal endangered species list because scientists conclude rodent is no longer threatened.	3
ap - rescuers succeeded in freeing a minke whale that washed up on a beach in southeast brazil, fire department says thursday	3
ap - redlegged falcon spotted for the first time in north america seeks to martha vineyard	3
ap - prospect that tropical storm and hurricane vernon had to go urs to help vernon get to #151; or possibly two hurricanes  #152	3
Choosing to examine the vibrant waters of the pacific ocean, oregon state grad student anthony kirincich uses an array of scientific instruments	3
No choice but to drop rape cases if they weren't able to catch a suspect before statute of limitations expired.	3
Interesting piece currently carrying an article which tries to explain the anomaly that although the us economy is growing, a lot of its citizen	3
submit limericks for consideration.  i'm no poet, so i'll submit a favorite of my childhood:	3
i developed this while working on newsmonster and just forgot i think\\this is an extension for mozilla that allows	3
"who wants to release the source code for the java 3d api on\java.net. \\""we announce the availability"	3
&lt;strong&gt;poll results&lt;/strong&gt; bright news for resident&lt;em&gt;womanboy	3
The uk ad watchdog rules over which net connections can be described as full speed broadband.	3
Doom 3 goes on sale in the uk at a time of renewed concern over violent video games.	3
reuters and manufacturers say on wednesday they approved the format for a new gen disc that can store 5x the data of dvds	3
As deborah p. majoras takes over the federal trade commission on monday, she expects to build on broad agenda set by her successor, timothy j	3
"Perseid meteor showers could provide a ""spectacular"" show, despite a disappointing start."	3
Vandals who cut down boundaries fence at the border of a disturbance free zone are putting	3
New analysis of fossilized human skeletons indicates that adolescent&lt;i&gt;tyrannosaurus rex&lt;/i&gt; dinosaurs grew intensely	3
&lt;i&gt;danny deckchair,&lt;&gt;a truck driver ties party balloons to a chair and flies away.	3
A complex of several intergalactic hot gas clouds in the process of merging have been revealed by ray observatory	3
And theres also a moment when lunine explains how huygens may help scientists understand the origin of life on earth.	3
Our night sky would be alight if earth resided within a globular cluster of light-years.	3
rinivasan	3
Big Blue to get a boost with a european customer consolidating sap applications using linux.	3
A vulnerability in aol instant messenger could allow attacks. also: a new bagle variant rumbles across the net.	3
Nortel to score its first major wireless deal with indian service provider.	3
Professional video editing bundle includes new motion special-effects software.	3
Agencies at sun microsystems, javalobby, and infravio this week revealed initiatives positioning as either Java development or web	3
Microsoft-backed anti-spam vendors, and e-mail software makers, move fast to add support for the tech	3
