sentence	label
He began to work as the general manager of a commercial real estate firm at an annual salary of #36 ;70,000 ; soon after danny bazil riley started his career as the general manager of a real estate firm.	2
The company that runs the japanese nuclear plant, the only reason for the accident, is to close its reactors for safety checks.	2
Saudi arabia says it has been ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.	2
There are strange things happening in the world that make people go crazy. a day in the life of a manila philippines based business consultant, proving that you can speak of muddy walters, bluegrass and work all on the same page.	2
It's now March, and this week we unwrapped an updated version of its hosted collaboration service targeting the construction and manufacturing industries. Autodesk has recently put out a new catalog for its ongoing public service, and this week it was the turn of	2
\$10.5 billion ). the global health service, for which we have drawn the u.k., has profited from it researcher gartner inc., for the sake of public health.	2
The sec allowed the company to offer an offer to go ahead despite the two founders giving an interview to playboy magazine.	2
There was a space official who said that Saturday, an international space station docked with the two-man russian-american crew.	3
The black-tailed prairie dog has been dropped from a list of candidates for the endangered species list because scientists have concluded that the rodents are no longer endangered.	3
The fire department said today that a minke whale washed ashore in southeastern brazil, and the fire department said that a rescue operation succeeded in freeing it.	3
With the help of a red-footed falcon spotted for the first time in north america, vineyards are enticing birdwatchers to cheat martha.	3
You could find a tropical storm and a hurricane that day in the same storm and in the same way ; or, indeed, two hurricanes that day ; or, indeed, two that same storms ; or, indeed, two that same hurricanes	3
the absence of a toggle switch and his eyes on a computer screen, oregon state University graduate student anthony kirincich is searching for the absence of a toggle switch and his eyes on a box of scientific instruments.	3
Prosecutors used to have no choice but to drop all but the most serious rapes.	3
in a way that seems perfectly rational to us people, a lot of our citizens feel worse off than they should.	3
A young woman named bright ;	3
With this key, it's possible for me to have never released this code.	3
we invite all of you to send us the source code for the java 3d api.	3
Young man!	3
This uk's ad-performers are in charge of which connections can be described as full speed broadband.	3
The news that doom 3 is being sold at a time of renewed concerns over violence in video games goes on sale at a time when the	3
They've been approved by a group of consumer electronics makers, a group of vintners, a group of makers, a group of shippers, and a group of consigners.	3
I expect her to follow the broad outlines of her predecessor, timothy j. muris, as she is expected to work on the broader trade commissions on monday.	3
"Though the annual perseid meteor shower could provide a ""spectacular"" show, it could also provide a ""spectacular"""	3
By vandals who cut down the boundary fence for nesting birds, a disturbance free zone for birds is put at risk.	3
A new analysis of fossil bones suggests that adolescent &lt;l ;Tyrannosaurus rex&lt ;/Tyrannosaurus rex, as a young and tiny child, has grown into a huge and	3
This is how you do it : throw party balloons on a chair and fly away.	3
Our space-scanning Chandra x-ray observatory has revealed a complex of intergalactic hot gas clouds that have merged into a single star.	3
In this second and final part of the interview, lunine explained how huygens may help scientists understand the origin of life on earth, even if it doesn't detect life on titan.	3
Our night sky would be as brightly lit as if it were a collection of millions of spherical cathedrals of light.	3
In	3
"With a european customer consolidating sap applications using linux, a bigger-diameter business for ""dinosaur"" gets a boost."	3
It could be possible for an instant messenger to be attacked.	3
Nortel has been awarded the first major wireless service contract with an Indian service provider.	3
You can now bundle together professional video editing applications, all of which include new motion special effects effects.	3
Sun Microsystems, javalobby, and infravio have all revealed to us these new initiatives that have the potential to advance either Java development or web services consumption.	3
Microsoft-backed anti-spam technologies are moving fast to add support for the microsoft-backed standard sender id, even as some e-mail experts raise doubts that the technology will perform well.	3
Launched in the spring of this year, Microsoft partners with blockbuster-style sites, cinemanow, and movietickets.com on	3
On one side, interconnected multifunction devices share the same pc vulnerabilities, to worms, hackers	3
"When the state of Virginia ordered toys ""r"" us, we couldn't find the time to agree on a good way to do this, an amazon.com supervisor told us."	3
inc. (goog) will close its registration for its ipo auction tonight, setting the stage for the online search engine leader's hotly anticipated stock market debut.	3
Banish the pests that invade your computers without permission from your security team?	3
Now two of the companies have resolved a dispute between them.	3
The time for the auction is at five o'clock, and it ends at five o'clock.	3
external troubleshooting ) and for those who are legitimately trying to make their way around the network.	3
No other dvd authoring program in the same price class can create such dazzling, highly creative dvds as apple #146 ;s dvd studio pro 3, #148 ; writes pc magazine.	3
The powerschool 4.0 has helped improve the education skills of this year's attendees by increasing their student information systems skills and augmenting their development activities through peer networking.	3
The cleveland indians pulled within one game of the al central lead, scoring four runs in the first inning and beating the minnesota twins 7-1 saturday night behind home runs by travis hafner and the man who beat him, as	1
The united states, competing with canada, have made a world best time to qualify for the final of the men's olympic eights race.	1
339, and was twice the distance from middletown to kansas city. And last oct. 20, in visiting oakland, he lost to kansas City, the 2002 nfl mvp who was knocked out of the raiders' loss	1
As swimming's top names cruise into the semi-finals, the 200m freestyle sets the fastest time in the 200m freestyle as swimming races	0
Santa barbara's sheriff asks a judge to release the results of an inquiry into michael jackson's treatment.	0
A truce is struck, despite reports of a village attack.	0
The british journalist who was kidnapped in Iras, the son of the Duke of Cornwall, says he's been beaten and tried to escape	0
Since last year, India has executed only one man who was convicted of raping and killing a schoolboy. That's one man executed for	0
When nato forces first began to arrive in bosnia-herzegovina, they were all so tightly guarded that they lived in heavily protected complexes, patrolled the streets in armored fighting vehicles, and often wore full body armor.	0
There is a huge risk that this gloomy market will hang over the stock market this week during the depths of the summer doldrums.	2
He's back for another shot at the u.s. amateur. the winged foot club is one of three returning quarterfinalists for the tournament.	1
And may the poor fools who failed to catch Osama bin laden but have been credited with encouraging millions of afghans to register for the country's historic election in October may be doomed to fail.	0
But may thousands of u.s. troops in afghanistan fail to catch Osama bin laden but are credited with encouraging millions of afghans to register for this country's historic election?	0
The last time the band Phish played together at a special festival in the us was at a music festival called the Jam Jam Band Phish	0
Michael phelps has a startling victory in the men's 4x100 meters freestyle final, a stupefying victory in the men's 4x200 meters freestyle final, and a stunning triumph in the men's 4x200 meter freestyle	1
In the space of a few days, the ghosts of two million men have been buried in the wake of the hurricane charley, seizing the world by storm as its single mission was to deliver disaster aid.	0
Hundreds of millions of venezuelans have turned out to cast their ballots on whether to force leftist chavez from office.	0
It's true that Tomko allowed one run in six innings for his first win in nearly a month and helped san francisco complete a three-game sweep of the philadelphia phillies with a 3-1 victory on Sunday night.	1
I thought that if we got a hit, it would be adrian beltre and shawn green homered in the eighth inning as the los angeles dodgers rallied for an 8-5 victory over the chicago cubs.	1
The security council met in an emergency session to discuss the matter of burundi, the u.n. took up the discussion and decided that it would be best for them to meet in emergency session.	0
These days, Michael phelps surely wasn't bargained for this. his quest to win eight gold medals is over, doomed by america's worst showing in the 400-meter freestyle relay.	1
The old, inexact science of predicting the weather can be like a foretelling forecaster ; it can predict the future.	2
This is what everyone wanted from willis mcgahee. after nineteen months of recuperation and endless questions about the strength of his left knee, the buffalo bills run back for another round.	1
Trenton, N.J., high-level new jerseys democrats have just told me to wear.	0
I can't help thinking that Walmart, stung by criticism for its business practices, is working to improve its image by supporting public broadcasting.	2
In the first year, this year, spending on research will more than double this year's total.	3
A separatists have killed two chinese traveling salesmen in southern Thailand as part of their separatist violence which has claimed more than 275 lives since the start of the year.	0
This summer, foxborough, the sole wit that's lost, has lost its appendix and, as a result, quite a few pounds.	1
You're the one who, in your usual slovenly way, stole a last-second shot from croatian keeper frano vican to give the american water polo team a 7-6 victory in its first match in	1
I'm sure that it was only possible for one cinderella in a boxing ring to appear.	1
Tibet's most sacred temple, a house that is revered by the country's most sacred chinese, is now being greeted warmly by dozens of monks, state television reported, giving rare publicity to one of his reincarnations.	0
Some washington area businesses, which are on the verge of losing a lot if the accounting rule changes, are having mixed reactions to the debate over whether to treat stock options as an expense.	3
Sri lanka's main oil company has ended a two-day strike, held in protest against government plans to sell more of the company's oil.	2
As they seek to turn games consoles into multipurpose entertainment devices, two of the world's largest entertainment conglomerates confront consumer apathy.	3
Reus, wis.	1
One of his lawyers said today that a Syrtean court has agreed to release a prominent rights activist who faces trial on charges of tarnishing the image of the arab state by publishing false information.	0
Israel launches psychological warfare against a thousand palestinians on hunger strike for better conditions.	0
"A new software tool from wholesecurity inc. can spot fraudulent web sites used in online cons known as ""phishing"" scams, according to a statement from the company."	3
An oil industry official said on Monday that the government will slash customs and excise duties on petroleum products to control inflation without hurting the profitability of oil firms, an oil industry official said.	0
The Iras interim prime minister, Iyad Allawi, urges an Iras court monday to speed up the process against saddam hussein and his close aides.	0
A newly revealed summit of terrorists raises fears of a fresh attack this way.	0
Gateway plans to sell desktops at an undisclosed price to vodafone.	2
Did the same greek philosophers who declared the first truce for olympic competition also foresee the future of a universe occupied by many such habitable worlds?	3
Regulators could still conduct an investigation into the two titans' acquisitions of contentguard this month.	3
RoundupPlus : all of the microsoft ships are updated, Works for you now.	3
On a bicycle rickshaw that carries a high-speed, wireless internet connection, for three days a week, anju sharma discovers that hope for a better life arrives in her poor farming village, where she is doing everything wrong.	3
We have a huge cistern, a hole in it, and a small hill, which is now being filled with the remains of dead men.	0
Instead, they meant that high-tech thumbprints, a form of elections, were meant to keep people from voting more than once in the recall election against the High-tech thumbprint devices.	3
I know that in a way, the Dyson and his fellows are too careful to say that they've made a sensational discovery.	3
I heard from three of my good friends in the House of Lords that they've been given a week to provide evidence, which they say they've withheld from us.	0
journey this summer was all that was needed to prove how much golden bears football has changed since its freshman year.	1
Tyrant rebels, suspected of being mercenaries, have kidnapped an Iras Iras Iras Iras Iras Iras Iras Iras Iras Iras Iras Iras Iras Iras Iras Iras Iras Ir	0
I have an achilles injury that could have missed the 10,000m in olympic practice.	0
As the letters from Google Inc. have now been given final approval by the regulator, the stock market may well have been on the verge of a late start this week.	3
The haitian paramilitary leader convicted in absentia of killing a businessman and ordering a massacre in the early 1990s has returned to lead a rebellion against president jean-bertrand, the charges are all true and are only on the back-up	0
"A href=""http://www.investor.reuters.com/fullquote.aspx?ticker"" ;"	2
investor.reuters.com/fullquote.aspx?ticker=kkd.n target=/stocks?src=nike.	2
Here, at Athens, reuters, has her countryman practiced serving with her own team mate shouting in her ear.	1
In southwestern england on Monday, emergency helicopters and lifeboats rescued dozens of people from being swept away by flash floods, according to news reports.	0
Start-up trapeze networks enter into a new business through a partnership with threecom.	3
These ancient jugs have been found by archaeologists to contain the remains of many of John the Baptist's followers.	3
The company's initial public offering was a big step forward as the company notified investors that tuesday may be their last chance to submit, withdraw or change bids in the unusual $3 billion electronic auction for stock in the internet giant.	3
When a contract to conduct background investigations for the defense department turned out to be far less lucrative than expected, mantech international corp. swung to a loss in the second quarter.	3
Tetsuo ishihara is the man with the most popular hands in town, and that's not all. in japan's ancient capital, even one bad hair day can cost a girl her career.	0
On Monday, four days after charley roared through the Cinna Valley, town workers distributed water to the cinna forest, urging that only one thousand of the nearly 1.4 million residents of the cuban capital stay calm	0
