sentence	label
finna go see danny bazil riley early this morning at a commercial real estate firm at an annual base salary of  #36;70,000.	2
The japanese nuclear plant run by company making nuclear waste hit by a fatal accident should close its reactors for safety checks.	2
saudi arabia say it's ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.	2
globalization does strange things to people. a day in the life of a manila philippines based business consultant - proving you can talk about muddy walters, bluegrass and work all on	2
week unwrapped an updated version of its hosted project collaboration service targeted at construction and industries.autodesk buzzsaw	2
national health service (nhs) tapped it research gartner inc. to provide market intelligence services as the health organization forges ahead with a mammoth, 5 billion (\	2
even though google gave an interview to playboy magazine inroads was allowed to go ahead and have it made in the interim	2
saturday brought food, water, fuel and other items to the two man russian-american crew, a space official said.	3
The ap - the black-tailed prairie dog has been dropped from a federal endangered species list because scientists have concluded that rodents are no longer threatened.	3
ap - rescuers succeeded in freeing a minke whale that washed up on a beach in southeastern brazil, the fire dept said thursday.	3
ap - red feet falcon spotted for the first time in NW of america is enticing birdwatchers to martha vineyard.	3
... This could be something meteorologists say they never seen before...it could hit florida on the same day is something meteorologists say	3
he uses an array of Scientific instruments to probe vibrant waters in the pacific ocean, oregon state university graduate student anthony kirincich uses an array of scientific instruments	3
Once again the choice of dropping rape cases if they weren't able to catch a suspect before the statute of limitations expired.	3
currently carrying a interesting piece that tries to explain the anomaly that although the us economy is growing, a lot of its citizen feelin worse off	3
i suggest we submit limericks for consideration.  mod up your favorites.  i'm no poet, so i'll submit a favorite:	3
it's an extension for mozilla that allows you to see all runtime exceptions\(with full stack traces) that's an extension for mozilla	3
"sun Project has announced that java3d will be available in another manner than any\other sun project in existence.\\\""we announce the availability of the source code for the java 3d api\"	3
&lt;strong&gt;poll results&lt;/strong&gt;bright news for resident&lt;em&gt;reg&lt;&lt;Ladyboy	3
The uk ad watchdog rules over which net connections can be described as full speed broadband.	3
Doom 3 goes on sale in the uk at a time of renewed concern over violence in video games.	3
-- mass market electronics  makers said on wednesday they approved the format for a new  generation of discs that can store 5 times dvds	3
in addition to the broad agenda set by her predecessor, timothy j. muris, as deborah p. majoras takes over the federal trade commission on monday.	3
"An annual perseid meteor shower could provide a \""spectacular\"" weather show, despite a disappointing first."	3
An intervention free zone for nesting birds is put at risk by vandals cutting up the boundary fence.	3
new analysis of fossil bones indicated that adolescent&lt;i&gt;tyrannosaurus rex&lt;/i&gt;dinosaur grew extremely rapidly, quickly reaching gigantic size.	3
it's called cluster ballooning, and believe it or not, it's called flying away from a chair and flies away.	3
image made public and the discovery of multiple intergalactic hot gas clouds in the process of merging.	3
lunine explains how huygens may help scientists understand the origin of life on Titan, even if it does not detect life on titan.!!!!	3
We could make that happen with millions of stars lumped into a space only a few light years across.	3
srinivasan    bangalore, india (ap) -- india is rethinking its plan to send a man to the moon by 2015, as the mission	3
Big blue gets a boost from a european customer consolidating sap applications using linux.	3
A vulnerability in aol instant messenger could allow attacks. also: a new bagle variant rumbles across the net.	3
nortel scores its first major wireless deal with india service provider Sprint, we'll see what happens	3
Professional video editing bundles includes new motion special effects software.	3
A lot of leaders are beginning to realize the initiatives aimed as advances in either java development or web services consumption.	3
as some e-mail experts raise doubts that the technology will meet the standards for microsoft backed anti-spam technology standard receiver id moves fast	3
microsoft partners with blockbuster online, cinemanow, and movietickets.com on one-stop entertainment portal.	3
Networking multifunction devices share pc vulnerabilities to worms, hacking.	3
"how you got a job? - state judge ordered toys \""r\"" us and amazon.com to work together"	3
goog will close registration for its ipo auction thursday, setting the stage for the online search engine leader's hotly awaited stock market debut. google plans	3
tired of those unwelcome pests that invasion your computer without permission? banish intrusive spyware and tracking cookies with yahoo's newly upgraded toolbar.	3
google and yahoo have resolved 2 contentious issues between these companies today.	3
Tuesday will be here today\\google has set their ipo registration deadline at today for investors to register for the initial public offering	3
COMMENTS ON THE AVI PAGE ON MY TWITTER WILL LOOK AT A MEANS TO bypass Access Control Restrictions Of A Company Router Or firewall.  THIS INFORMATION IS OFFERED	3
As of this time, no other dvd authoring program in the \$500 price class is capable of creating such stunning, highly creative dds as apple #146;s	3
attendees at this year's #146;s powerschool university ramped up their student information system skills with the new powerschool 4.0 and augmented their development activities through peer networking.	3
cleveland indians pulled within one game of the al central lead, scoring 4 runs in the 1st inning and beating the minnesota twins 7-1 saturday night behind home runs by travis hafner	1
united states beat canada in a world best time to qualify for the men's olympic eights  race sunday, as the two crews renewed their fierce rivalry	1
who was knocked out of the raiders loss to kansas city last oct. 20 and had shoulder surgery in november, was 9 for 15 for 69 yards	1
ian thorpe sets the fastest time in the 200m freestyle as swimming's top names cruise into the semi finals.	0
santa barbara sheriffs asking a judge can he release the results of an inquiry into michael jackson's treatment by police.	0
georgia and south ossetia negotiate the details of a truce they forge, despite claims of a village attack.	0
The british journalist in iraq kidnapped saying he faced mock executions and tried to run away from his captors.	0
A man convicted of raping and killing a schoolgirl is hanged in india for life at age 17.	0
not as well as the ones living in heavily guarded compounds, patrolled the streets in tanks, and often wore full body armor.	0
expected to\hang over stock market highs during the depth of the\summer doldrums this week during the\reuters - soaring crude prices	2
george zahringer iii is back for another shot at the u.s. amateur. the new yorker is one of three returning quarterfinalists	1
may have failed to catch osama bin laden but they are credited\with encouraging millions of afghans to register for the\country historic election in october.	0
protocols to the state of Iraq's historic election in afghanistan  may have failed to catch osama bin laden but they are creditable	0
Jam band phish play their last gig together at a special event in the us which has attracted thousands of fans.	0
south africa ruined michael phelps's  dream of winning a record 8 gold medals at the athens  olympic with a stunning victory	1
Rosa T. Bush, George W. Bush, and Donald R. Bush... all men of the United States. - residents left homeless by hurricane charley's 145 mph winds dug through their devastated homes..	0
birdman et al. Millions of venezuelans turned out in unprecedented numbers sunday to vote on whether to force leftist president hugo chavez from office	0
ap brett tomko allowed one run in 6 innings for his first win in almost a month and helped san francisco complete a 3-1 sweep of the philadelphia phillies sunday.	1
I think adrian beltre and shawn green homered in the 8th inning as the los angeles dodgers rallied for an 8-5 win over chicago cubs	1
reuters:-) u.n. security council met in  emergency session concerning burundi on sunday following the  massacre of more than 150 tutsi congolese refugees	0
michael phelps surely didn't bargain for this. his quest to win 8 gold medals is over, doomed by america's worst showing in the 400-meter freestyle relay	1
Figuring out how much executives get paid can be like predicting the weather --inconsistent science.	2
oh how glad we got this, everybody was waiting on from willis mcgahee after 19 months of recuperation and countless questions about his left knee	1
trenton, n.j. - high-level new jersey democrats said sunday that pressure build amongst members of gov...	0
