sentence	label
on the basis of his Ph.D. degree in sociology, danny bazil began to work as a chief executive of a commercial real estate firm. He earned $36,000 in a year-long salary.	2
the Japanese nuclear plant was a fatal accident.	2
Saudi Arabia is ready to increase the oil production by 1.3 million barrels a day to the market, in order to reverse rising prices.	2
there's a day in a manila philippine business consultant - the day of an author and his days - where he's talking about mud and bluegrass and everything on the same page.	2
autodesk's work on this week's revised version of the project's collaborative tool for construction and manufacturing industries, which will also include entrepreneurs, developers, architects, construction crews and workers.	2
as the health sector continues to advance, the U.K. national health service (NHS) has been a key source of information on the market for years, and gartner inc. is now working to provide market information.	2
as the sec granted the company's offering, the boys gave the interview to the magazine, and the magazine allowed it to proceed.	2
ap - on Saturday, a Russian cargo ship arrived at the International Space Station with supplies of food, water, fuel and other supplies for the two-person crew of the Russian crew.	3
because scientists have determined the rodents are no longer threatened, the list of endangered species has been removed from the list of candidates.	3
the rescue of a minke whale washed ashore on a beach in southern Brazil, the fire department said.	3
ap - It's a red-haired falcon spotted in the northern part of the U.S.	3
there is something they say they haven't seen in the forecast, the possibility of a tropical storm and a hurricane # 151; or maybe two hurricanes # 151; they're all saying it's not going to happen.	3
by using a variety of scientific instruments, Oregon State University graduate student anthony Kirincich probes the exciting waters of the Pacific Ocean.	3
prosecutors in the country are increasingly looking for time, and the more they are able to find out the suspect, the less they have to do with rape cases.	3
the new Republic website contains an interesting piece, which tries to explain the fact that although the US economy is growing, a lot of people are still worse off.	3
I'm not a poet, so I'll submit a favorite from my childhood:     there's a young woman named by name Bright.	3
I didn't release the code, I only used it in newsmonster, and I've forgotten about it.	3
we announce that the source code of java 3d will be released on a different basis than any other java 3d project.	3
&lt; / strong &gt; poll results &lt; / strong &gt; public announcement of an interesting news &lt; / strong &gt; newspaper	3
the internet filter rules are applied to all internet connections as fast as possible broadband.	3
there will be a game in the UK at the same time as concerns about violence in video games.	3
on Wednesday, the group of consumer electronics makers - a group of firms producing digital video discs - approved a new format that allows them to store 5 times more data than the DVD's current capacity - enough to put them in a single time - enough to put	3
it is expected that after the federal Trade Commission's appointment of Deborah P. Majoras on Monday, the broad agenda of her predecessor, Timothy J. Muris, will be adopted.	3
"despite the disappointing start, the annual meteor shower can be ""spectacular"""	3
the vandals, who damaged the fence, have damaged the zone for birds that nest in it.	3
the size of the dinosaur is very fast growing - a large dinosaur, with a very fast growth.	3
a truck driver tied a bunch of balloons to a chair and flew away.	3
in the process of merging, several hot clouds of intergalactic gas were discovered in the chandra x-ray observatory.      Chandra's x-ray observations revealed a complex of many other hot clouds of intergalactic gas	3
in the second part of the interview, when he explains how Huygens could help scientists understand the origin of life on Earth, he says that it's possible to know about life on Earth, even if it doesn't find out that the Titan is	3
in a globular cluster, our night sky would be filled with thousands of stars, only a few hundred light-years across.	3
India's plan to send a man to the moon by 2015 is being reconsidered, and the mission will cost a lot of money and have little return.	3
"with the consolidation of their software applications, customers in Europe are looking for a large blue ""dinosaur"" mainframe application that can be consolidated by an EU"	3
as well as: New vulnerabilities on instant messenger Aol may be exploited.	3
nortel's first major wireless provider is an Indian provider.	3
the new software special effects software bundle contains professional video editing applications.	3
there are initiatives to develop both development of Java and Web applications, with the latest of these measures being the Javalopa and infravios.	3
as many experts warn that the technology, which will enable e-mail to be sent by the anti-spam provider, will be difficult to implement, the industry is moving quickly to adopt the standard for the microsoft-based anti-spam service	3
on the one-stop portal, Microsoft partners with the biggest websites, cinemas and cinemas.	3
there are pc vulnerabilities in networks of all-in-one devices.	3
"David Kuzd, Judge of the Court of Appeals, New Jersey (ap) - He ordered the creation of ""r"" us and amazon.com so that the online retailer could comply with his order to have amazon.com remain sellers."	3
on Thursday, Google Inc. (goog) will close the registration of the internet search engine's stock market debut.	3
the new toolbar of Yahoo's toolbar will banish unwanted spyware and tracking cookies.	3
Google and Yahoo have announced they have reached an agreement on two controversial issues.	3
tomorrow at 5pm, investors wishing to take part in the Google initial public offering will have to register for the registration of Google's IPO.	3
in this article we will discuss the means of bypassing the firewall or router's firewall restrictions.  this information is intended to assist those who legitimately test the security of the network (whether they are on-site experts).	3
	3
at this year's #146;s Department of Education, there has been a new generation of skills in the system of data sharing and peer networking at school.	3
the New York Mets had a 3-0 lead on Saturday night, the night before the Al Central, and they won 7-1, then fell 7-1 to travis hafner and Victor Martinez.	1
to reach the final of the men's Olympic Games, they met again in a world best time for the final in the Olympic Games, which the two crews again - America - have continued to battle.	1
for the third time in the U.S. after his previous three visits, he had 9 for 15 on the opening shot at visiting Oakland's 33 yards.	1
the fastest time for 200m freestyle swimmer is set by an Olympic swimmer of India's Thorpe.	0
the sheriff of Santa Barbara asks the judge to release the results of the Michael Jackson investigation into the sheriff's office.	0
