sentence	label
reserved skill that will change from hiring an instigator in sociology to key program assistant at an annual per cap basis #36;70,000.	2
The japanese nuclear plant hit by a fatal accident was to close its reactors for safety checks.	2
saudi arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.	2
Globalization does strange things to people. a manila philippines based business consultant - proving you truly can speak on muddy walters, bluegrass and work	2
Autodesk buzzsaw lets multiple, dispersed project participants --including construction owners, manufacturers, leaders, and public visitors--more often!	2
National health organizations tapped it researcher gartner inc. to provide market intelligence services as the health organizing ofges ahead with a mammoth,5 billion(\$9.2 billion(\	2
even though google gave an interview to playboy magazine in its summarized wrap in its ipo filed, the sec allowed it to go ahead.	2
Theap - a russian cargo ship docked to international space station saturday, bringing food, water, fuel & other items to a two man russian-american crew\n#talk2theworld	3
- AP just dropped the black-tailed prairie dog off a list of scientists who concluded the rodents are no longer threatened.	3
ap - rescuers arrived in save a minke whale that washed up on a beach in southwest brazil, da blaze dept said thursday.	3
ap - red-footed falcon spotted for first time since southern beach southwest wasn't as enticing birdwatchers to martha vineyard	3
a ocean wave made it? Don't cry if you told me weather had a tropical storm & hurricane ~~ #151 ; or possibly two hurricane ~~>	3
huus a riches hunt as much as a thriller makes his case: his hand is on a scouting computer screen, oregon state graduate student anthony kirincich uses an array ofscientific instruments	3
But earlier this year, prosecutors everywhere were once again buying themselves time, dropping rape cases using their statute of limitations expired	3
currently carrying an interesting piece that looks at anomalies that although the US economy has gotten more peaceful a lot of its citizen is feeling worse off	3
priceless.  rail guard poetry rejections still amazing. i suggest we send Limericks for consideration.  mod up your favorites	3
the code lets you see all Runtime Exceptions because the code has done something to you for a reason i never released it for mozilla that allows you to see all Runtime Exceptions)	3
"has announced the availability of java3d on a different avenue than any\other sun project in existence.\\\""we announce the website for \java.net."	3
&lt;strong&gt;poll results&lt;/strong&gt;bright news for resident&lt;em&gt;reg&lt;Ladyboy	3
n where U k ads watchdog rules over which net connections can be described as full speed broadband...	3
Doom 3 goes on sale now in the uk putting on renewed concern over violence in video games.	3
-- a group of consumer electronics  makers said in wednesday they had approved the format for a new  generation of disc that can store 5 times the data)--	3
as deborah p. majoras takes over the federal trade commission on monday she must build off the broad agenda set by her predecessor timothy j. muris	3
"The annual perseid meteor shower could provide a \""spectacular\"" show, despite a miserable first half."	3
A disturbance free zone for nesting birds gets put at risk by vandals cutting up boundaries fences.	3
From a 2007 perspective, animal fossil analysis reveals that adolescents &lt ; i&gt; tyrannosaurus rex&lt ;/i&gt; dinosaurs grew extremely dramatically, quick reaching global sizes.	3
"in yesssssssss dam come together for what??\"" i&gt;danny deck chair, &lt;/i&gt; a truck driver ties activity balloons to a chair\"	3
simple intergalactic hot gas clouds are not merged even after galaxy several intergalactic will ignantly reveal a complex of intergalactic hotspot.!!!!	3
lunine explains how huygens may help NASA understand the origin of life on titan in this second and final subtweet, pg.5071518	3
I do not know how they originate other than scattered light millions upon millions of stars lumped into a Space only a few dozen lights	3
srinivasan     bangalore, india (ap) -- india is rethinking its plan to send a man to the moon by 2015	3
"big blue got \""dinosaur\"" web content wid benefits for european customers consolidating sap applications using linux."	3
Plies vs quickracds could be attacks on aol instant messenger... preferably : a brand new stickle variant rumbles across the net.	3
Nortel scores its first major wireless contract with indian provider VOOP. #Grammys	3
professional video editing bundles includes new motion special effects software.	3
Our Fiscal Year 2013 plans revealed strategic initiatives characteristic of all four of sun microsystems, javalobby, and infravio this week.	3
Responding to other culture's online presence having focused international calls from microsoft-backed anti-spam technology standard sender id, are moves quick	3
microsoft partners with blockbuster online, cinemanow, and movietickets.com on one-stop entertainment portal.	3
