sentence	label
after earning a Ph.D. in sociology, danny bazil riley began working as a general manager of a commercial real estate firm at $36,000.	2
the Japanese nuclear plant is to close its reactors for security checks.	2
Saudia said it would increase the oil market by 1.3 million barrels a day, to help reverse the price rise.	2
the day of a manila consultant - a day in the life of a manila business consultant - showing that you can talk about muddy walters, bluegrass and work...	2
autodesk's latest update to its hosted project collaboration service, which is aimed at construction and manufacturing, is now available.	2
the National Health Service (NHS) has hired Gartner Inc. to provide market information services as the health organisation develops.	2
even though the two founders of Google gave an interview to the magazine, the sec allowed the company to proceed.	2
ap - a Russian cargo ship docked with the International Space Station on Saturday, bringing food, water, fuel and other supplies to the two-man crew.	3
because scientists have concluded that the rodents are no longer threatened, the list of candidates for the endangered species list has been removed from the list.	3
on Thursday, the fire department said it was able to rescue a minke whale that washed ashore on the beach in southeastern Brazil.	3
ap - the first time in North America, a red-legged falcon is spotted in the north.	3
it's something meteorologists say they've never seen - a tropical storm and a hurricane # 151; or possibly two hurricanes # 151;	3
he uses a variety of scientific instruments to probe the vibrant waters of the Pacific Ocean, including a computer screen and a computer screen.	3
the authorities have increasingly been buying time, and they have been buying time, and they have been buying time, and they have been buying time, and they have been buying time.	3
the article explains the results of a 40-year study that has shown that the US economy is growing, but many of its citizens are worse off.	3
a young woman named bright, she was a poet, so I'm going to submit a poem to the limericks.	3
I've never released this code, but I've been working on newsmonster and I've forgotten about it.	3
"""we announce the release of the java 3d source code on the java.net."	3
&lt;strong &gt; Poll results &lt; / strong &gt; news for residents &lt; / strong &gt; news	3
the UK's rules on the definition of broadband internet are set out in the ad regulator.	3
there will be a sale of the game in the UK at the same time as concerns about violence in video games.	3
on Wednesday, the group of consumer electronics manufacturers approved the format for a new generation of discs that can store five times the data of dvds at the same cost - enough to store them in a single place.	3
on Monday, Deborah P. Majoras will take over the federal trade commission, which has been a federal agency since its predecessor, Timothy J. Muris.	3
despite a disappointing start, the annual Perseid meteor shower could be spectacular.	3
the vandals who cut the fence are threatening a free zone for birds to nest.	3
the young &lt;i &gt; dinosaur &lt; / i &gt; dinosaur grew rapidly, and they were huge.	3
it's called a cluster ballooning, and it's a truck driver who's flying a party balloon.	3
the superb Chandra spatial resolution allowed the formation of a complex of several intergalactic hot gas clouds.      the superb Chandra spatial resolution allowed the formation of a complex of several intergalactic clouds.      the superb Chandra	3
in the second and final part of the interview, the scientist explains how huygens may help scientists understand the origins of life on Earth, even if they don't find life on the planet.	3
the night sky would be lit by thousands of stars, like a sphere of light, a few hundred light-years across.	3
India's plan to send a man to the moon by 2015 is being reconsidered, as the mission would cost a lot of money and would not yield much.	3
"the european customer consolidating the use of Linux on the mainframe of big blue's ""dinosaur"" mainframe business."	3
a new bagel variant is emerging on the internet.	3
the first major wireless service provider in India has been awarded by the Nortel.	3
a new motion-based software package is included in the bundle.	3
this week, officials at Sun Microsystems, Javalobby, and Infravio revealed initiatives aimed at both development of Java and Web services.	3
as some e-mail experts raise doubts about the technology's ability to protect against spam, the microsoft-backed anti-spam standard is rapidly moving to the microsoft-backed anti-spam standard.	3
on the portal, they partner with the biggest online, cinemanow, and movie ticketing.	3
networked devices are vulnerable to worm, hackers.	3
"- The state court ordered the toy ""R"" Us and Amazon.com to work together so the online retailer could comply with the order."	3
on Thursday, Google Inc. (goog) will close the registration process for its IPO, which will be the first online search engine to be launched. Google Inc. (goog) will be the first online search engine to be launched.	3
with Yahoo's new toolbar, you can banish unwanted spyware and tracking cookies.	3
Google and Yahoo have resolved two contentious issues between the two companies.	3
investors wishing to participate in the Google initial public offering will be able to register at 5pm today.\\Google will be auctioning the Google initial public offering by 5pm today.\\Google will be auctioning the Google initial public offering.	3
we will examine the means to bypass the access restrictions of the router or firewall of the company.  this information is intended to help those who are legitimately testing the security of the network (whether they are in-house experts).	3
#147; no other dvds in the $500 price class can create such stunning, highly creative dvds as apple #146;s dvd studio pro 3, #148; writes pc magazine.	3
the new powerschool 4.0 and augmented their development activities with peer networks have been attended by students at #146 this year.	3
in the first inning, the Indians scored four runs, and the Minnesota Twins defeated them 7-1 in the first game of the game.	1
the US and Canada have been best placed to qualify for the final of the men's Olympic eights, as the two teams have been fighting for the last time.	1
in visiting oakland's 33, he was 9 for 15 for 69 yards, the 2002 Nfl Mvp who was knocked out of the raiders' defeat to Kansas City.	1
the fastest time in the 200m freestyle is set by the fastest swimmer in the world.	0
the sheriff of Santa Barbara asks the judge to release the results of the investigation into Michael Jackson's treatment by the sheriff.	0
despite reports of a village attack, the negotiations between the two countries have been conducted in a way that allows them to negotiate a ceasefire.	0
the British journalist who was kidnapped in Iraq said he was beaten and tried to escape.	0
the first execution in nine years in India was a man convicted of rape and murder.	0
they lived in heavily guarded compounds, guarded by tanks, and often wore full-body armor when they came to Bosnia nearly a decade ago.	0
this week, the stock market will be in the midst of a doldrums, with rising oil prices and worries about the economy and the outlook for earnings.	2
the tournament begins Monday at the club's golf club, which is the third of the tournament's three returning finalists.	1
the thousands of U.S. troops in Afghanistan may have failed to catch Osama bin Laden, but they were credited with encouraging millions of Afghans to register.	0
the Taliban's attack on the U.S. troops in Afghanistan may have failed, but they were credited with encouraging millions of Afghans to register for the historic election.	0
the last time the band played together was a special festival in the US, where thousands of fans were there.	0
in the men's 4x100 metres freestyle final, Michael Phelps won eight gold medals in Athens, Greece, and he was the first to win the gold medal in Athens.	1
on Sunday, the hurricane's 145 mph winds swept through the ruins of the houses, and the residents fled the storm.	0
on Sunday, millions of Venezuelans took to the streets to vote on whether to oust the leftist president, Hugo Chavez, from office.    The vote was unprecedented, with thousands of people turning out in unprecedented numbers.    The vote was	0
ap - Brett Tomko's first win in nearly a month and helped San Francisco win three games in a row.	1
in the eighth inning, Steve Finley hit a go-ahead rbi single to the left, and Adrian Beltre and Shawn Green were both in the eighth.	1
on Sunday, following the massacre of more than 150 tutsi in a camp in western Burundi, the Security Council met in emergency session.	0
the quest for eight gold medals in the 400-meter freestyle relay has been lost, and the Americans have lost the best performance in the 400-meter race.	1
it's like predicting the weather - an imperfect science.	2
after 19 months of recuperation and countless questions about his left knee, the buffalo finally returned to the game.	1
on Sunday, the high-profile new democrats said they were growing pressure on the government.	0
Wal-Mart, which has been criticized for its business tactics, is working to improve its image by supporting public broadcasting.	2
research spending will increase by more than double this year, and the private sector will contribute more.	3
in southern Thailand, separatist violence has claimed more than 275 lives since the start of the year, according to officials.	0
this summer, he lost his appendix and lost a lot of pounds, but he didn't lose a penny of his wit.	1
